path,page_count
/courts/default/2024-12/btb24-1g-11.pdf,3
/courts/default/2024-12/btb24-1g-2.pdf,2
/courts/default/2024-12/btb24-1g-4.pdf,2
/courts/default/2024-12/btb24-1g-5.pdf,1
/courts/default/2024-12/btb24-1g-8.pdf,1
/courts/default/2024-12/btb24-1g-9.pdf,1
/courts/default/2024-12/btb24-1h-3.pdf,1
/courts/default/2024-12/btb24-1h-4.pdf,2
/courts/default/2024-12/btb24-2a-1.pdf,30
/courts/default/2024-12/btb24-2j-12.pdf,8
/courts/default/2024-12/btb24-2l-2.pdf,569
/courts/default/2024-12/btb24-2l-3.pdf,25
/courts/default/2024-12/btb24-3j-1.pdf,37
/courts/default/2024-12/btb24-4b-2.pdf,8
/courts/default/2024-12/btb24-4b-3.pdf,4
/courts/default/2024-12/btb24-4b-5.pdf,8
/courts/default/2024-12/btb24-4l-5.pdf,130
/courts/default/2024-12/btb24-precon-2e-12.pdf,4
/courts/default/2024-12/btb25-4d-01.pdf,101
/courts/default/2024-12/btb25-precondv-17.pdf,51
/courts/default/2024-12/btb_23_1a_14.pdf,12
/courts/default/2024-12/btb_23_1p_1.pdf,4
/courts/default/2024-12/btb_23_2m_4.pdf,9
/courts/default/2024-12/btb_23_3d_2.pdf,5
/courts/default/2024-12/btb_23_3d_3.pdf,5
/courts/default/2024-12/btb_23_3d_4.pdf,10
/courts/default/2024-12/btb_23_3d_5.pdf,8
/courts/default/2024-12/btb_23_precon_usable_1.pdf,4
/courts/default/2024-12/calcrim_2024_edition.pdf,2588
/courts/default/2024-12/capcon-spr08.pdf,10
/courts/default/2024-12/capcon1102se.pdf,8
/courts/default/2024-12/capcon1104se.pdf,10
/courts/default/2024-12/itema13_0.pdf,168
/courts/default/2024-12/itema13_0_0.pdf,168
/courts/default/2024-12/itema4.pdf,26
/courts/default/2024-12/jc-121211-item3.pdf,41
/courts/default/2024-12/jc-121311-itemm.pdf,343
/courts/default/2024-12/jc-20121214-info3.pdf,118
/courts/default/2024-12/jc-20121214-itema2.pdf,16
/courts/default/2024-12/judicial-branch-contracts-under-code-19209.pdf,407
/courts/default/2024-12/judicial_council_of_california_civil_jury_instructions-2023-archived_0.pdf,3506
/courts/default/2024-12/judicial_council_of_california_civil_jury_instructions_2020_0.pdf,3424
/courts/default/2024-12/judicial_council_of_california_civil_jury_instructions_2022_edition_0.pdf,3462
/courts/default/2024-12/judicial_council_of_california_civil_jury_instructions_2024_0.pdf,3524
/courts/default/2024-12/los-angeles-sch1-2425.pdf,4
/courts/default/2024-12/lr-2017-pc1170-report.pdf,25
/courts/default/2024-12/lr-2017-state-tc-imf-modernization-fund.pdf,31
/courts/default/2024-12/lr-jbcl-semiannual-contract-report-08-01-2013.pdf,795
/courts/default/2024-12/lr_semiannualcontractreport-jan-june-2012.pdf,789
/courts/default/2024-12/refrept.pdf,29
/courts/default/2024-12/santaclara-county-dually-involved-youth-protocol_2020.pdf,16
/courts/default/2024-12/sf-family-treatment-center-information.pdf,2
/courts/default/2025-03/PROP. 63 MHSA INFORMATION SHEET A GUIDE FOR COURTS TO ACCESS FUNDING.pdf,2
/private/courts/2024-08/Judicial_Council_of_California_Civil_Jury_Instructions-2023-archived.pdf,3506
/private/courts/2024-08/Judicial_Council_of_California_Civil_Jury_Instructions_2020.pdf,3424
/private/courts/2024-08/Judicial_Council_of_California_Civil_Jury_Instructions_2022_edition.pdf,3462
/private/courts/2024-08/judicial_council_of_california_civil_jury_instructions_2024.pdf,3524
/private/courts/2024-11/SantaClara-County-Dually-Involved-Youth-Protocol_2020.pdf,16
/private/courts/2025-05/Appendix_Compressed_051525.pdf,1102
/private/courts/air-filtration-devices-wildfires-policy.pdf,4
/private/courts/facilities-deferred-maintenance-report-fy-2018-19.pdf,261
/private/courts/facilities-deferred-maintenance-report-fy-2019-20.pdf,850
/private/courts/facilities-deferred-maintenance-report-fy-2020-21.pdf,1511
/private/courts/facilities-deferred-maintenance-report-fy-2021-22.pdf,1141
/private/courts/facilities-deferred-maintenance-report-fy-2022-23.pdf,1131
/private/courts/file/10-fresno-fy-2024-25-q1-qfs.pdf,6
/private/courts/file/20100827item6.pdf,140
/private/courts/file/20100827item6_0.pdf,140
/private/courts/file/20110909item1.pdf,47
/private/courts/file/2011legsumary_forweb.pdf,16
/private/courts/file/20250214-jbwcp-ac-materials.pdf,340
/private/courts/file/28-napa-fy-2024-25-q1-qfs.pdf,6
/private/courts/file/7a-2526-alpine.pdf,10
/private/courts/file/7a-2526-amador.pdf,10
/private/courts/file/7a-2526-kern.pdf,71
/private/courts/file/7a-2526-plumas.pdf,10
/private/courts/file/7a-2526-san-bernardino.pdf,98
/private/courts/file/7a-2526-san-diego.pdf,49
/private/courts/file/7a-2526-santa-clara.pdf,71
/private/courts/file/air-filtration-devices-wildfires-policy.pdf,4
/private/courts/file/attachment-3-peninsula-corporate-menu.pdf,17
/private/courts/file/behavioral-health-services-act-information-sheet.pdf,6
/private/courts/file/binder1_128.pdf,4
/private/courts/file/cfac-20150528-materials.pdf,51
/private/courts/file/cfac-20191001-materials.pdf,827
/private/courts/file/cfac-20230725-materials.pdf,19
/private/courts/file/cfac-20241105-materials.pdf,715
/private/courts/file/cfac-20241105-materials_0.pdf,720
/private/courts/file/cfac-20241105-materials_1.pdf,720
/private/courts/file/ciap_20250224_materials.pdf,53
/private/courts/file/civilcasecoord_2018topresent_jccp-log.pdf,1333
